B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B25, Blotteritem, {'type': 'Trade', 'time': 257.13749999990307, 'price': 100.00200000000001, 'party1': 'B25', 'party2': 'S10', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 272.11249999988945, 'price': 108.00400000000002, 'party1': 'B25', 'party2': 'S12', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 333.062499999834, 'price': 108.001, 'party1': 'B25', 'party2': 'S14', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 356.7374999998125, 'price': 103.00200000000001, 'party1': 'B25', 'party2': 'S08', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 364.2999999998056, 'price': 100.00200000000001, 'party1': 'B25', 'party2': 'S02', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 401.1249999997721, 'price': 109.00300000000001, 'party1': 'B25', 'party2': 'S09', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 430.937499999745, 'price': 103.001, 'party1': 'B25', 'party2': 'S13', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 452.29999999972557, 'price': 97.001, 'party1': 'B25', 'party2': 'S13', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 513.9874999996784, 'price': 97.00400000000002, 'party1': 'B25', 'party2': 'S13', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 529.7499999997358, 'price': 99.001, 'party1': 'B25', 'party2': 'S17', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 551.3874999998145, 'price': 101.00200000000001, 'party1': 'B25', 'party2': 'S08', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 584.0624999999334, 'price': 101.03500000000017, 'party1': 'B25', 'party2': 'S11', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 618.5500000000588, 'price': 105.00600000000003, 'party1': 'B25', 'party2': 'S01', 'qty': 1}
B26, 19
B26, Blotteritem, {'type': 'Trade', 'time': 28.23749999999893, 'price': 110.98499999999993, 'party1': 'S06', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 49.61250000000272, 'price': 109, 'party1': 'B26', 'party2': 'S21', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 76.06250000000873, 'price': 106, 'party1': 'S16', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 107.80000000001594, 'price': 106.9779999999999, 'party1': 'S06', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 168.78749999998342, 'price': 105, 'party1': 'S16', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 210.28749999994568, 'price': 105, 'party1': 'S16', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 231.73749999992617, 'price': 103.0, 'party1': 'S21', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 269.0749999998922, 'price': 107, 'party1': 'B26', 'party2': 'S11', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 282.0499999998804, 'price': 110.95599999999979, 'party1': 'S04', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 330.4499999998364, 'price': 103.0, 'party1': 'S21', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 349.08749999981944, 'price': 103.99399999999997, 'party1': 'S04', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 381.61249999978986, 'price': 111, 'party1': 'S24', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 401.8874999997714, 'price': 109, 'party1': 'B26', 'party2': 'S10', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 434.4874999997418, 'price': 105, 'party1': 'S16', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 468.49999999971084, 'price': 113.99199999999996, 'party1': 'S22', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 514.7249999996811, 'price': 102.98399999999992, 'party1': 'S15', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 546.1624999997955, 'price': 102, 'party1': 'B26', 'party2': 'S07', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 567.3874999998727, 'price': 102, 'party1': 'S03', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 606.6250000000155, 'price': 103.99199999999996, 'party1': 'S06', 'party2': 'B26', 'qty': 1}
B27, 20
B27, Blotteritem, {'type': 'Trade', 'time': 30.274999999998816, 'price': 110.97699999999989, 'party1': 'S00', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 40.16250000000057, 'price': 108.99099999999996, 'party1': 'S06', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 70.53750000000747, 'price': 108.999, 'party1': 'S00', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 109.67500000001637, 'price': 106.97499999999988, 'party1': 'S00', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 146.51250000000368, 'price': 109.99599999999998, 'party1': 'S22', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 185.04999999996863, 'price': 105.98299999999992, 'party1': 'S00', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 195.56249999995907, 'price': 105, 'party1': 'S03', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 225.27499999993205, 'price': 99.99799999999999, 'party1': 'S04', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 265.6749999998953, 'price': 103, 'party1': 'S03', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 311.7749999998534, 'price': 101.99799999999999, 'party1': 'S00', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 329.3249999998374, 'price': 102.98699999999994, 'party1': 'S15', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 364.4249999998055, 'price': 102.99299999999997, 'party1': 'S20', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 413.49999999976086, 'price': 107.99699999999999, 'party1': 'S04', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 440.0499999997367, 'price': 103.99199999999996, 'party1': 'S04', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 479.82499999970054, 'price': 108, 'party1': 'B27', 'party2': 'S08', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 510.24999999967287, 'price': 102.999, 'party1': 'S00', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 523.762499999714, 'price': 103.999, 'party1': 'S06', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 571.4999999998877, 'price': 102.98399999999992, 'party1': 'S00', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 585.1124999999372, 'price': 105.999, 'party1': 'S00', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 609.6750000000266, 'price': 104, 'party1': 'S16', 'party2': 'B27', 'qty': 1}
B28, 20
B28, Blotteritem, {'type': 'Trade', 'time': 32.52499999999883, 'price': 110.9789999999999, 'party1': 'S15', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 49.43750000000268, 'price': 110.99799999999999, 'party1': 'S20', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 119.10000000001851, 'price': 95.999, 'party1': 'S15', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 125.58750000001999, 'price': 100.999, 'party1': 'S06', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 174.4124999999783, 'price': 105.99599999999998, 'party1': 'S06', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 195.46249999995916, 'price': 104.99799999999999, 'party1': 'S20', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 252.5874999999072, 'price': 101.99199999999996, 'party1': 'S06', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 270.4999999998909, 'price': 110.98899999999995, 'party1': 'S00', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 298.1374999998658, 'price': 103, 'party1': 'S03', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 322.46249999984366, 'price': 102, 'party1': 'S03', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 344.12499999982396, 'price': 105.99399999999997, 'party1': 'S06', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 375.01249999979586, 'price': 106.0, 'party1': 'S22', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 413.41249999976094, 'price': 107, 'party1': 'S03', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 444.18749999973295, 'price': 103.99099999999996, 'party1': 'S06', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 472.3749999997073, 'price': 109.99199999999996, 'party1': 'S04', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 521.6499999997063, 'price': 102.96499999999983, 'party1': 'S00', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 526.0749999997224, 'price': 100, 'party1': 'S16', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 548.9999999998058, 'price': 103.99799999999999, 'party1': 'S20', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 573.4624999998948, 'price': 102.98399999999992, 'party1': 'S06', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 611.4750000000331, 'price': 111, 'party1': 'S24', 'party2': 'B28', 'qty': 1}
B29, 19
B29, Blotteritem, {'type': 'Trade', 'time': 16.212499999999615, 'price': 124.0, 'party1': 'B29', 'party2': 'S02', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 38.17500000000012, 'price': 107.001, 'party1': 'B29', 'party2': 'S02', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 87.8500000000114, 'price': 109.001, 'party1': 'B29', 'party2': 'S21', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 125.17500000001989, 'price': 95.00300000000001, 'party1': 'B29', 'party2': 'S09', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 138.98750000001053, 'price': 108.01000000000005, 'party1': 'B29', 'party2': 'S12', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 182.86249999997062, 'price': 105.00700000000003, 'party1': 'B29', 'party2': 'S17', 'qty': 1}
B29, Blotteritem, {'type': 'Trade', 'time': 192.6624999999617, 'price': 104.00200000000001, 'party1': 'B29', 'party2': 'S08', 'qty': 1}
