B00, 0
B01, 0
B02, 0
B03, 1
S00, Blotteritem, {'type': 'Trade', 'time': 282.4444444444017, 'price': 82.90199999999953, 'party1': 'S00', 'party2': 'B09', 'qty': 1}
S01, 7
S01, Blotteritem, {'type': 'Trade', 'time': 17.555555555555497, 'price': 93.0, 'party1': 'B07', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 58.84126984127564, 'price': 81.0, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 66.92063492064119, 'price': 80.00800000000004, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 143.85714285713163, 'price': 79, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 215.31746031743285, 'price': 81, 'party1': 'B06', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 228.82539682536628, 'price': 81, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 272.460317460277, 'price': 81.01600000000008, 'party1': 'B14', 'party2': 'S01', 'qty': 1}
S02, 4
S02, Blotteritem, {'type': 'Trade', 'time': 77.58730158730543, 'price': 80, 'party1': 'B08', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 110.87301587301215, 'price': 81, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 151.60317460316162, 'price': 77, 'party1': 'B08', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 188.63492063489923, 'price': 76, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
S03, 8
S03, Blotteritem, {'type': 'Trade', 'time': 31.412698412698305, 'price': 75.97399999999988, 'party1': 'S03', 'party2': 'B12', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 51.87301587302014, 'price': 84.999, 'party1': 'S03', 'party2': 'B09', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 105.95238095237835, 'price': 82.98299999999992, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
S03, Blotteritem, {'type': 'Trade', 'time': 151.41269841268547, 'price': 78.98799999999994, 'party1': 'S03', 'party2': 'B07', 'qty': 1}
